name,category,id,service_id,provider_id,gpu,detailsname,vcpu,memory,clock_speed_ghz,physical_processor_description,cpu_vendor,previous_generation,ebs_base_throughput,ebs_base_iops,ebs_burst_throughput,ebs_burst_iops,network_performance_description,network_upto,network_speed,network_speed_burst,network_devices,storage_ssd,storage_size,storage_devices,storage_readops,storage_writeops,nvme_ssd,trim_support,storage_includes_swap_partition,storage_needs_initialization,consider_instance,comment,price_unit,price_region,price,price_platform,price_lifecycle
c3.2xlarge,compute,aws-ec2-c3_2xlarge,aws-ec2,aws,0,C3 High-CPU Double Extra Large,8,15,2.8,Intel Xeon E5-2680 v2 (Ivy Bridge),intel,TRUE,,,,,High,false,0,0,1,true,80,2,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.42,linux,on-demand
c3.4xlarge,compute,aws-ec2-c3_4xlarge,aws-ec2,aws,0,C3 High-CPU Quadruple Extra Large,16,30,2.8,Intel Xeon E5-2680 v2 (Ivy Bridge),intel,TRUE,,,,,High,false,0,0,1,true,160,2,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.84,linux,on-demand
c3.8xlarge,compute,aws-ec2-c3_8xlarge,aws-ec2,aws,0,C3 High-CPU Eight Extra Large,32,60,2.8,Intel Xeon E5-2680 v2 (Ivy Bridge),intel,TRUE,,,,,10 Gigabit,false,10,10,1,true,320,2,0,0,false,false,false,true,TRUE,,hour,us-east-1,1.68,linux,on-demand
c4.large,compute,aws-ec2-c4_large,aws-ec2,aws,0,C4 High-CPU Large,2,3.75,2.9,Intel Xeon E5-2666 v3 (Haswell),intel,FALSE,62.5,4000,62.5,4000,Moderate,false,0,0,1,false,0,0,0,0,false,false,false,false,FALSE,,hour,us-east-1,0.1,linux,on-demand
c4.xlarge,compute,aws-ec2-c4_xlarge,aws-ec2,aws,0,C4 High-CPU Extra Large,4,7.5,2.9,Intel Xeon E5-2666 v3 (Haswell),intel,FALSE,93.75,6000,93.75,6000,High,false,0,0,1,false,0,0,0,0,false,false,false,false,FALSE,,hour,us-east-1,0.199,linux,on-demand
c4.2xlarge,compute,aws-ec2-c4_2xlarge,aws-ec2,aws,0,C4 High-CPU Double Extra Large,8,15,2.9,Intel Xeon E5-2666 v3 (Haswell),intel,FALSE,125,8000,125,8000,High,false,0,0,1,false,0,0,0,0,false,false,false,false,FALSE,,hour,us-east-1,0.398,linux,on-demand
c4.4xlarge,compute,aws-ec2-c4_4xlarge,aws-ec2,aws,0,C4 High-CPU Quadruple Extra Large,16,30,2.9,Intel Xeon E5-2666 v3 (Haswell),intel,FALSE,250,16000,250,16000,High,false,0,0,1,false,0,0,0,0,false,false,false,false,FALSE,,hour,us-east-1,0.796,linux,on-demand
c4.8xlarge,compute,aws-ec2-c4_8xlarge,aws-ec2,aws,0,C4 High-CPU Eight Extra Large,36,60,2.9,Intel Xeon E5-2666 v3 (Haswell),intel,FALSE,500,32000,500,32000,10 Gigabit,false,10,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.591,linux,on-demand
c5.large,compute,aws-ec2-c5_large,aws-ec2,aws,0,C5 High-CPU Large,2,4,3,Intel Xeon Platinum 8124M,intel,FALSE,81.25,4000,593.75,20000,Up to 10 Gigabit,true,0.75,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.085,linux,on-demand
c5.xlarge,compute,aws-ec2-c5_xlarge,aws-ec2,aws,0,C5 High-CPU Extra Large,4,8,3,Intel Xeon Platinum 8124M,intel,FALSE,143.75,6000,593.75,20000,Up to 10 Gigabit,true,1.25,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.17,linux,on-demand
c5.2xlarge,compute,aws-ec2-c5_2xlarge,aws-ec2,aws,0,C5 High-CPU Double Extra Large,8,16,3,Intel Xeon Platinum 8124M,intel,FALSE,287.5,10000,593.75,20000,Up to 10 Gigabit,true,2.5,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.34,linux,on-demand
c5.4xlarge,compute,aws-ec2-c5_4xlarge,aws-ec2,aws,0,C5 High-CPU Quadruple Extra Large,16,32,3,Intel Xeon Platinum 8124M,intel,FALSE,593.75,20000,593.75,20000,Up to 10 Gigabit,true,5,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.68,linux,on-demand
c5.9xlarge,compute,aws-ec2-c5_9xlarge,aws-ec2,aws,0,C5 High-CPU 9xlarge,36,72,3,Intel Xeon Platinum 8124M,intel,FALSE,1187.5,40000,1187.5,40000,10 Gigabit,false,10,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.53,linux,on-demand
c5.12xlarge,compute,aws-ec2-c5_12xlarge,aws-ec2,aws,0,C5 High-CPU 12xlarge,48,96,3,Intel Xeon Platinum 8275L,intel,FALSE,1187.5,40000,1187.5,40000,12 Gigabit,false,12,12,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,2.04,linux,on-demand
c5.18xlarge,compute,aws-ec2-c5_18xlarge,aws-ec2,aws,0,C5 High-CPU 18xlarge,72,144,3,Intel Xeon Platinum 8124M,intel,FALSE,2375,80000,2375,80000,25 Gigabit,false,25,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,3.06,linux,on-demand
c5.24xlarge,compute,aws-ec2-c5_24xlarge,aws-ec2,aws,0,C5 High-CPU 24xlarge,96,192,3,Intel Xeon Platinum 8275L,intel,FALSE,2375,80000,2375,80000,25 Gigabit,false,25,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,4.08,linux,on-demand
c5.metal,compute,aws-ec2-c5_metal,aws-ec2,aws,0,C5 High-CPU Metal,96,192,3,Intel Xeon Platinum 8275L,intel,FALSE,2375,80000,2375,80000,25 Gigabit,false,25,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,4.08,linux,on-demand
c5a.large,compute,aws-ec2-c5a_large,aws-ec2,aws,0,C5A Large,2,4,2.8,AMD EPYC 7R32,amd,FALSE,25,800,396,13300,Up to 10 Gigabit,true,0.75,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.077,linux,on-demand
c5a.xlarge,compute,aws-ec2-c5a_xlarge,aws-ec2,aws,0,C5A Extra Large,4,8,2.8,AMD EPYC 7R32,amd,FALSE,50,1600,396,13300,Up to 10 Gigabit,true,1.25,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.154,linux,on-demand
c5a.2xlarge,compute,aws-ec2-c5a_2xlarge,aws-ec2,aws,0,C5A Double Extra Large,8,16,2.8,AMD EPYC 7R32,amd,FALSE,100,3200,396,13300,Up to 10 Gigabit,true,2.5,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.308,linux,on-demand
c5a.4xlarge,compute,aws-ec2-c5a_4xlarge,aws-ec2,aws,0,C5A Quadruple Extra Large,16,32,2.8,AMD EPYC 7R32,amd,FALSE,198,6600,396,13300,Up to 10 Gigabit,true,5,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.616,linux,on-demand
c5a.8xlarge,compute,aws-ec2-c5a_8xlarge,aws-ec2,aws,0,C5A Eight Extra Large,32,64,2.8,AMD EPYC 7R32,amd,FALSE,396,13300,396,13300,10 Gigabit,false,10,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.232,linux,on-demand
c5a.12xlarge,compute,aws-ec2-c5a_12xlarge,aws-ec2,aws,0,C5A 12xlarge,48,96,2.8,AMD EPYC 7R32,amd,FALSE,594,20000,594,20000,12 Gigabit,false,12,12,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.848,linux,on-demand
c5a.16xlarge,compute,aws-ec2-c5a_16xlarge,aws-ec2,aws,0,C5A 16xlarge,64,128,2.8,AMD EPYC 7R32,amd,FALSE,788,26700,788,26700,20 Gigabit,false,20,20,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,2.464,linux,on-demand
c5a.24xlarge,compute,aws-ec2-c5a_24xlarge,aws-ec2,aws,0,C5A 24xlarge,96,192,2.8,AMD EPYC 7R32,amd,FALSE,1188,40000,1188,40000,20 Gigabit,false,20,20,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,3.696,linux,on-demand
c5ad.large,compute,aws-ec2-c5ad_large,aws-ec2,aws,0,C5AD Large,2,4,2.8,AMD EPYC 7R32,amd,FALSE,25,800,396,13300,Up to 10 Gigabit,true,0.75,10,1,true,75,1,16283,7105,true,true,false,false,TRUE,,hour,us-east-1,0.086,linux,on-demand
c5ad.xlarge,compute,aws-ec2-c5ad_xlarge,aws-ec2,aws,0,C5AD Extra Large,4,8,2.8,AMD EPYC 7R32,amd,FALSE,50,1600,396,13300,Up to 10 Gigabit,true,1.25,10,1,true,150,1,32566,14211,true,true,false,false,TRUE,,hour,us-east-1,0.172,linux,on-demand
c5ad.2xlarge,compute,aws-ec2-c5ad_2xlarge,aws-ec2,aws,0,C5AD Double Extra Large,8,16,2.8,AMD EPYC 7R32,amd,FALSE,100,3200,396,13300,Up to 10 Gigabit,true,2.5,10,1,true,300,1,65132,28421,true,true,false,false,TRUE,,hour,us-east-1,0.344,linux,on-demand
c5ad.4xlarge,compute,aws-ec2-c5ad_4xlarge,aws-ec2,aws,0,C5AD Quadruple Extra Large,16,32,2.8,AMD EPYC 7R32,amd,FALSE,198,6600,396,13300,Up to 10 Gigabit,true,5,10,1,true,300,2,130263,56842,true,true,false,false,TRUE,,hour,us-east-1,0.688,linux,on-demand
c5ad.8xlarge,compute,aws-ec2-c5ad_8xlarge,aws-ec2,aws,0,C5AD Eight Extra Large,32,64,2.8,AMD EPYC 7R32,amd,FALSE,396,13300,396,13300,10 Gigabit,false,10,10,1,true,600,2,260526,113684,true,true,false,false,TRUE,,hour,us-east-1,1.376,linux,on-demand
c5ad.12xlarge,compute,aws-ec2-c5ad_12xlarge,aws-ec2,aws,0,C5AD 12xlarge,48,96,2.8,AMD EPYC 7R32,amd,FALSE,594,20000,594,20000,12 Gigabit,false,12,12,1,true,900,2,412500,180000,true,true,false,false,TRUE,,hour,us-east-1,2.064,linux,on-demand
c5ad.16xlarge,compute,aws-ec2-c5ad_16xlarge,aws-ec2,aws,0,C5AD 16xlarge,64,128,2.8,AMD EPYC 7R32,amd,FALSE,788,26700,788,26700,20 Gigabit,false,20,20,1,true,1200,2,521053,227368,true,true,false,false,TRUE,,hour,us-east-1,2.752,linux,on-demand
c5ad.24xlarge,compute,aws-ec2-c5ad_24xlarge,aws-ec2,aws,0,C5AD 24xlarge,96,192,2.8,AMD EPYC 7R32,amd,FALSE,1188,40000,1188,40000,20 Gigabit,false,20,20,1,true,1900,2,825000,360000,true,true,false,false,TRUE,,hour,us-east-1,4.128,linux,on-demand
c5d.large,compute,aws-ec2-c5d_large,aws-ec2,aws,0,C5 High-CPU Large,2,4,3,Intel Xeon Platinum 8124M,intel,FALSE,81.25,4000,593.75,20000,Up to 10 Gigabit,true,0.75,10,1,true,50,1,20000,9000,true,true,false,false,TRUE,,hour,us-east-1,0.096,linux,on-demand
c5d.xlarge,compute,aws-ec2-c5d_xlarge,aws-ec2,aws,0,C5 High-CPU Extra Large,4,8,3,Intel Xeon Platinum 8124M,intel,FALSE,143.75,6000,593.75,20000,Up to 10 Gigabit,true,1.25,10,1,true,100,1,40000,18000,true,true,false,false,TRUE,,hour,us-east-1,0.192,linux,on-demand
c5d.2xlarge,compute,aws-ec2-c5d_2xlarge,aws-ec2,aws,0,C5 High-CPU Double Extra Large,8,16,3,Intel Xeon Platinum 8124M,intel,FALSE,287.5,10000,593.75,20000,Up to 10 Gigabit,true,2.5,10,1,true,200,1,80000,37000,true,true,false,false,TRUE,,hour,us-east-1,0.384,linux,on-demand
c5d.4xlarge,compute,aws-ec2-c5d_4xlarge,aws-ec2,aws,0,C5 High-CPU Quadruple Extra Large,16,32,3,Intel Xeon Platinum 8124M,intel,FALSE,593.75,20000,593.75,20000,Up to 10 Gigabit,true,5,10,1,true,400,1,175000,75000,true,true,false,false,TRUE,,hour,us-east-1,0.768,linux,on-demand
c5d.9xlarge,compute,aws-ec2-c5d_9xlarge,aws-ec2,aws,0,C5 High-CPU 9xlarge,36,72,3,Intel Xeon Platinum 8124M,intel,FALSE,1187.5,40000,1187.5,40000,10 Gigabit,false,10,10,1,true,900,1,350000,170000,true,true,false,false,TRUE,,hour,us-east-1,1.728,linux,on-demand
c5d.12xlarge,compute,aws-ec2-c5d_12xlarge,aws-ec2,aws,0,C5 High-CPU 12xlarge,48,96,3,Intel Xeon Platinum 8275L,intel,FALSE,1187.5,40000,1187.5,40000,12 Gigabit,false,12,12,1,true,900,2,700000,340000,true,true,false,false,TRUE,,hour,us-east-1,2.304,linux,on-demand
c5d.18xlarge,compute,aws-ec2-c5d_18xlarge,aws-ec2,aws,0,C5 High-CPU 18xlarge,72,144,3,Intel Xeon Platinum 8124M,intel,FALSE,2375,80000,2375,80000,25 Gigabit,false,25,25,1,true,900,2,700000,340000,true,true,false,false,TRUE,,hour,us-east-1,3.456,linux,on-demand
c5d.24xlarge,compute,aws-ec2-c5d_24xlarge,aws-ec2,aws,0,C5 High-CPU 24xlarge,96,192,3,Intel Xeon Platinum 8275L,intel,FALSE,2375,80000,2375,80000,25 Gigabit,false,25,25,1,true,900,4,1400000,680000,true,true,false,false,TRUE,,hour,us-east-1,4.608,linux,on-demand
c5d.metal,compute,aws-ec2-c5d_metal,aws-ec2,aws,0,C5 High-CPU Metal,96,192,3,Intel Xeon Platinum 8275L,intel,FALSE,2375,80000,2375,80000,25 Gigabit,false,25,25,1,true,900,4,1400000,680000,true,true,false,false,TRUE,,hour,us-east-1,4.608,linux,on-demand
c5n.large,compute,aws-ec2-c5n_large,aws-ec2,aws,0,C5N Large,2,5.25,3,Intel Xeon Platinum 8124M,intel,FALSE,81.25,4000,593.75,20000,Up to 25 Gigabit,true,3,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.108,linux,on-demand
c5n.xlarge,compute,aws-ec2-c5n_xlarge,aws-ec2,aws,0,C5N Extra Large,4,10.5,3,Intel Xeon Platinum 8124M,intel,FALSE,143.75,6000,593.75,20000,Up to 25 Gigabit,true,5,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.216,linux,on-demand
c5n.2xlarge,compute,aws-ec2-c5n_2xlarge,aws-ec2,aws,0,C5N Double Extra Large,8,21,3,Intel Xeon Platinum 8124M,intel,FALSE,287.5,10000,593.75,20000,Up to 25 Gigabit,true,10,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.432,linux,on-demand
c5n.4xlarge,compute,aws-ec2-c5n_4xlarge,aws-ec2,aws,0,C5N Quadruple Extra Large,16,42,3,Intel Xeon Platinum 8124M,intel,FALSE,593.75,20000,593.75,20000,Up to 25 Gigabit,true,15,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.864,linux,on-demand
c5n.9xlarge,compute,aws-ec2-c5n_9xlarge,aws-ec2,aws,0,C5N 9xlarge,36,96,3,Intel Xeon Platinum 8124M,intel,FALSE,1187.5,40000,1187.5,40000,50 Gigabit,false,50,50,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.944,linux,on-demand
c5n.18xlarge,compute,aws-ec2-c5n_18xlarge,aws-ec2,aws,0,C5N 18xlarge,72,192,3,Intel Xeon Platinum 8124M,intel,FALSE,2375,80000,2375,80000,100 Gigabit,false,100,100,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,3.888,linux,on-demand
c5n.metal,compute,aws-ec2-c5n_metal,aws-ec2,aws,0,C5N Metal,72,192,3,Intel Xeon Platinum 8124M,intel,FALSE,2375,80000,2375,80000,100 Gigabit,false,100,100,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,3.888,linux,on-demand
c6g.medium,compute,aws-ec2-c6g_medium,aws-ec2,aws,0,C6G Medium,1,2,2.5,AWS Graviton2 Processor,graviton,FALSE,39.375,2500,593.75,20000,Up to 10 Gigabit,true,0.5,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.034,linux,on-demand
c6g.large,compute,aws-ec2-c6g_large,aws-ec2,aws,0,C6G Large,2,4,2.5,AWS Graviton2 Processor,graviton,FALSE,78.75,3600,593.75,20000,Up to 10 Gigabit,true,0.75,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.068,linux,on-demand
c6g.xlarge,compute,aws-ec2-c6g_xlarge,aws-ec2,aws,0,C6G Extra Large,4,8,2.5,AWS Graviton2 Processor,graviton,FALSE,148.5,6000,593.75,20000,Up to 10 Gigabit,true,1.25,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.136,linux,on-demand
c6g.2xlarge,compute,aws-ec2-c6g_2xlarge,aws-ec2,aws,0,C6G Double Extra Large,8,16,2.5,AWS Graviton2 Processor,graviton,FALSE,296.875,12000,593.75,20000,Up to 10 Gigabit,true,2.5,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.272,linux,on-demand
c6g.4xlarge,compute,aws-ec2-c6g_4xlarge,aws-ec2,aws,0,C6G Quadruple Extra Large,16,32,2.5,AWS Graviton2 Processor,graviton,FALSE,593.75,20000,593.75,20000,Up to 10 Gigabit,true,5,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.544,linux,on-demand
c6g.8xlarge,compute,aws-ec2-c6g_8xlarge,aws-ec2,aws,0,C6G Eight Extra Large,32,64,2.5,AWS Graviton2 Processor,graviton,FALSE,1187.5,40000,1187.5,40000,12 Gigabit,false,12,12,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.088,linux,on-demand
c6g.12xlarge,compute,aws-ec2-c6g_12xlarge,aws-ec2,aws,0,C6G 12xlarge,48,96,2.5,AWS Graviton2 Processor,graviton,FALSE,1781.25,50000,1781.25,50000,20 Gigabit,false,20,20,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.632,linux,on-demand
c6g.16xlarge,compute,aws-ec2-c6g_16xlarge,aws-ec2,aws,0,C6G 16xlarge,64,128,2.5,AWS Graviton2 Processor,graviton,FALSE,2375,80000,2375,80000,25 Gigabit,false,25,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,2.176,linux,on-demand
c6g.metal,compute,aws-ec2-c6g_metal,aws-ec2,aws,0,C6G Metal,64,128,2.5,AWS Graviton2 Processor,graviton,FALSE,2375,80000,2375,80000,25 Gigabit,false,25,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,2.176,linux,on-demand
c6gd.medium,compute,aws-ec2-c6gd_medium,aws-ec2,aws,0,C6GD Medium,1,2,2.5,AWS Graviton2 Processor,graviton,FALSE,39.375,2500,593.75,20000,Up to 10 Gigabit,true,0.5,10,1,true,59,1,13438,5625,true,true,false,false,TRUE,,hour,us-east-1,0.0384,linux,on-demand
c6gd.large,compute,aws-ec2-c6gd_large,aws-ec2,aws,0,C6GD Large,2,4,2.5,AWS Graviton2 Processor,graviton,FALSE,78.75,3600,593.75,20000,Up to 10 Gigabit,true,0.75,10,1,true,118,1,26875,11250,true,true,false,false,TRUE,,hour,us-east-1,0.0768,linux,on-demand
c6gd.xlarge,compute,aws-ec2-c6gd_xlarge,aws-ec2,aws,0,C6GD Extra Large,4,8,2.5,AWS Graviton2 Processor,graviton,FALSE,148.5,6000,593.75,20000,Up to 10 Gigabit,true,1.25,10,1,true,237,1,53750,22500,true,true,false,false,TRUE,,hour,us-east-1,0.1536,linux,on-demand
c6gd.2xlarge,compute,aws-ec2-c6gd_2xlarge,aws-ec2,aws,0,C6GD Double Extra Large,8,16,2.5,AWS Graviton2 Processor,graviton,FALSE,296.875,12000,593.75,20000,Up to 10 Gigabit,true,2.5,10,1,true,474,1,107500,45000,true,true,false,false,TRUE,,hour,us-east-1,0.3072,linux,on-demand
c6gd.4xlarge,compute,aws-ec2-c6gd_4xlarge,aws-ec2,aws,0,C6GD Quadruple Extra Large,16,32,2.5,AWS Graviton2 Processor,graviton,FALSE,593.75,20000,593.75,20000,Up to 10 Gigabit,true,5,10,1,true,950,1,215000,90000,true,true,false,false,TRUE,,hour,us-east-1,0.6144,linux,on-demand
c6gd.8xlarge,compute,aws-ec2-c6gd_8xlarge,aws-ec2,aws,0,C6GD Eight Extra Large,32,64,2.5,AWS Graviton2 Processor,graviton,FALSE,1187.5,40000,1187.5,40000,12 Gigabit,false,12,12,1,true,1900,1,430000,180000,true,true,false,false,TRUE,,hour,us-east-1,1.2288,linux,on-demand
c6gd.12xlarge,compute,aws-ec2-c6gd_12xlarge,aws-ec2,aws,0,C6GD 12xlarge,48,96,2.5,AWS Graviton2 Processor,graviton,FALSE,1781.25,50000,1781.25,50000,20 Gigabit,false,20,20,1,true,1425,2,645000,270000,true,true,false,false,TRUE,,hour,us-east-1,1.8432,linux,on-demand
c6gd.16xlarge,compute,aws-ec2-c6gd_16xlarge,aws-ec2,aws,0,C6GD 16xlarge,64,128,2.5,AWS Graviton2 Processor,graviton,FALSE,2375,80000,2375,80000,25 Gigabit,false,25,25,1,true,1900,2,860000,360000,true,true,false,false,TRUE,,hour,us-east-1,2.4576,linux,on-demand
c6gd.metal,compute,aws-ec2-c6gd_metal,aws-ec2,aws,0,C6GD Metal,64,128,2.5,AWS Graviton2 Processor,graviton,FALSE,2375,80000,2375,80000,25 Gigabit,false,25,25,1,true,1900,2,860000,360000,true,true,false,false,TRUE,,hour,us-east-1,2.4576,linux,on-demand
c6gn.medium,compute,aws-ec2-c6gn_medium,aws-ec2,aws,0,C6GN Medium,1,2,2.5,AWS Graviton2 Processor,graviton,FALSE,95,2500,1187.5,40000,Up to 25 Gigabit,true,1.6,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.0432,linux,on-demand
c6gn.large,compute,aws-ec2-c6gn_large,aws-ec2,aws,0,C6GN Large,2,4,2.5,AWS Graviton2 Processor,graviton,FALSE,154.375,5000,1187.5,40000,Up to 25 Gigabit,true,3,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.0864,linux,on-demand
c6gn.xlarge,compute,aws-ec2-c6gn_xlarge,aws-ec2,aws,0,C6GN Extra Large,4,8,2.5,AWS Graviton2 Processor,graviton,FALSE,237.5,10000,1187.5,40000,Up to 25 Gigabit,true,5,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.1728,linux,on-demand
c6gn.2xlarge,compute,aws-ec2-c6gn_2xlarge,aws-ec2,aws,0,C6GN Double Extra Large,8,16,2.5,AWS Graviton2 Processor,graviton,FALSE,293.75,20000,1187.5,40000,Up to 25 Gigabit,true,10,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.3456,linux,on-demand
c6gn.4xlarge,compute,aws-ec2-c6gn_4xlarge,aws-ec2,aws,0,C6GN Quadruple Extra Large,16,32,2.5,AWS Graviton2 Processor,graviton,FALSE,1187.5,40000,1187.5,40000,Up to 25 Gigabit,true,15,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.6912,linux,on-demand
c6gn.8xlarge,compute,aws-ec2-c6gn_8xlarge,aws-ec2,aws,0,C6GN Eight Extra Large,32,64,2.5,AWS Graviton2 Processor,graviton,FALSE,2375,80000,2375,80000,50 Gigabit,false,50,50,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.3824,linux,on-demand
c6gn.12xlarge,compute,aws-ec2-c6gn_12xlarge,aws-ec2,aws,0,C6GN 12xlarge,48,96,2.5,AWS Graviton2 Processor,graviton,FALSE,3562.5,120000,3562.5,120000,75 Gigabit,false,75,75,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,2.0736,linux,on-demand
c6gn.16xlarge,compute,aws-ec2-c6gn_16xlarge,aws-ec2,aws,0,C6GN 16xlarge,64,128,2.5,AWS Graviton2 Processor,graviton,FALSE,4750,160000,4750,160000,100 Gigabit,false,100,100,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,2.7648,linux,on-demand
